Covidence #,DOI,Title,Authors,Published Year,Journal,Purpose,Vascular Disease/Procedure,Data Source,Period Start,Period end,Ground Truth,Image Type,Input,Output,Sample Size,Event Size,CV Architecture,Explainability?,Validation Method,Train/Test/Validate,Outcomes,External Validation Outcomes,Participants,Predictors,Outcomes_probast,Analysis,Overall,"Title (prediction, population, outcome)","Abstract  (objectives, design, predictors, outcome, stats, results)",Background (rationale),Objectives,Data (Source),Data (Dates),Participants (setting),Participants (eligibility),Paritcipants (treatments),Data Preparation (similar/diff b/w groups?),"Outcome (definition, timing)",Outcome (subjective),Outcome (blind),Analysis (use: eval of model performance?),Analysis (predictors handling: transforms etc.),"Analysis (model rationale, hyperparam)",Analysis (heterogeneity),Analysis (measures and plots),Analysis (model updating),Analysis (predictions calculation),Class Imbalance methods,Fairness,"Model Output (if classification, what threshold ID?)","Model specification (how to use, differences for healthcare)","Particiapants (number of participants with/without outcome, follow-up, ?diagram)","Participants (characteristics, number with missing data)","Model development (# of participants, event rate)","Model specification (formula, code, program)","Model performance (CI,)",Model updating (results),Interpretation,Limitations,Usability (poor input),Usability (interaction/expertise),Usability (future steps),Ethical approval,Funding,Conflicts of Intereset,Protocol,Registration,Data sharing,Code sharing,Patient and Public involvement,,,,,,,
#629,https://dx.doi.org/10.1038/s41598-022-21813-0,Multi-modal wound classification using wound image and location by deep neural network.,"Anisuzzaman, D M; Patel, Yash; Rostami, Behrouz; Niezgoda, Jeffrey; Gopalakrishnan, Sandeep; Yu, Zeyun",2022,Scientific reports,Diagnosis,Leg ulcer (Diabetic foot),Public (3),NR,NR,Public ,Skin images,,"Classification: diabetic, pressure, surgical, venous",12216,N/A,"Ensemble: MLP, LSTM, VGG, Inception, ResNet",0,5-fold cross validation,60/25/15,"acc=0.91, ",0,u,l,l,h,h,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,,,,,,,
#639,https://dx.doi.org/10.1007/s13246-022-01185-5,ACTNet: asymmetric convolutional transformer network for diabetic foot ulcers classification.,"Ai, Lingmei; Yang, Mengyao; Xie, Zhuoyu",2022,Physical and engineering sciences in medicine,Diagnosis,Diabetic Foot,Public,NR,NR,Public ,Skin images,Foot images,"Classification: 4 classes (none, infection, ischemia, both)",11689,N/A,CNN,9,5-fold cross validation,80/20,"f1=0.593, AUROC=0.824",1,u,l,l,l,u,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,,,,,,,
#646,https://dx.doi.org/10.3389/fpubh.2022.969846,Image segmentation using transfer learning and Fast R-CNN for diabetic foot wound treatments.,"Huang, Huang-Nan; Zhang, Tianyi; Yang, Chao-Tung; Sheen, Yi-Jing; Chen, Hsian-Min; Chen, Chur-Jen; Tseng, Meng-Wen",2022,Frontiers in public health,Diagnosis+Semgnetation,Diabetic Foot,Public,NR,NR,"PEDIS index., 1 expert",Skin images,Foot images,"Diagnosis: blocked VB, suture or ulceration. Segmentation: wound contour",727,,"Ensemble: R-CNN, inception",,NR,75/25,Acc=0.89,0,u,l,l,h,h,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#647,https://dx.doi.org/10.1016/j.cmpb.2022.107130,Application of cascaded GAN based on CT scan in the diagnosis of aortic dissection.,"Chen, Hongwei; Yan, Sunang; Xie, Mingxing; Huang, Jianlong",2022,Computer methods and programs in biomedicine,Synthetic images,Aortic dissection (Type B and Type A),Prospective,N/A,N/A,"Radiologist for diagnosis,",CT ,CT plain scan,CTA and diagnosis of aortic dissection (compared diagnosis with CT and with CTA),300,100,"Unet, nnU-net+ GAN",0,NR,65/35,Not well recorded,0,h,l,l,h,h,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,,,,,,,
#655,https://dx.doi.org/10.1109/EMBC48229.2022.9871254,Automated Deep Learning-based Single-Step Diameter Estimation of Carotid Arteries in B-mode Ultrasound.,"Anand, Ajay; Gurram, Nageswara R",2022,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Quantification,Carotid stenosis,Prospective,N/A,N/A,1 expert,US,"B-mode US longitudinal, CCA",Diameter of lumen,10 (84),N/A,"Ensemble: Resnet, VGG, Inception",,5-fold cross validation,70/10/.20',RMSE=0.32,0,l,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
#665,https://dx.doi.org/10.1016/j.compbiomed.2022.105951,Superficial femoral artery calcification segmentation and detection in CT angiography using convolutional neural network.,"Weng, Wenhai; Ku, Yijie; Chen, Zhong; Zheng, Huanqin; Xu, Chuang; Ding, Hui; Li, Lei; Wang, Guangzhi",2022,Computers in biology and medicine,Segmentation,PAD (SFA),Retrospective (single),N/A,N/A,2 clinicians,CTA,CTA,Segmentation of SFA calcification,73 (128 images),N/A,Unet,0,5-fold cross validation,80/20,"DC=0.8912, precision=0.9151, recall=0.9350",0,u,l,l,h,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#681,https://dx.doi.org/10.3233/SHTI220717,Automatic Wound Type Classification with Convolutional Neural Networks.,"Malihi, Leila; Husers, Jens; Richter, Mats L; Moelleken, Maurice; Przysucha, Mareike; Busch, Dorothee; Heggemann, Jan; Hafer, Guido; Wiemeyer, Stefan; Heidemann, Gunther; Dissemond, Joachim; Erfurt-Berge, Cornelia; Hubner, Ursula",2022,Studies in health technology and informatics,Diagnosis,Leg ulcer (Diabetic foot),Retrospective (multi),N/A,N/A,1 expert,Skin images,Foot images,"Classificaiton: diabetes, venous ulcer",909,N/A,Xception,1 (grad-CAM),NR,87/8/5',"f1=0.85, ",0,u,l,l,h,h,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
#684,https://dx.doi.org/10.1155/2022/3176716,Ultrasonic Image Feature Analysis under Deep Learning Algorithm to Evaluate the Efficacy of Drug-Coated Balloon for Treatment of Arteriosclerotic Occlusion.,"Zhang, Yuchao; Xu, Gang; Chen, Maozhen; Chen, Ziliang; Shen, Mingyang; Wang, Ping",2022,Computational and mathematical methods in medicine,Diagnosis,PAD (Drug coated balloon stent),Retrospective (single),2018,2,DSA (with diagnostic standard),US,US at 1/2 month follow-up to detect stenosis,"Classification into 0-4 for arterial stenosis. Diagnosis of common femoral artery, superficial femoral artery, and popliteal artery stenosis",56,N/A,R-CNN,0,NR,NR,Not well recorded,0,l,l,h,h,h,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,
#686,https://dx.doi.org/10.3390/s22114249,A Novel Machine Learning Approach for Severity Classification of Diabetic Foot Complications Using Thermogram Images.,"Khandakar, Amith; Chowdhury, Muhammad E H; Reaz, Mamun Bin Ibne; Ali, Sawal Hamid Md; Kiranyaz, Serkan; Rahman, Tawsifur; Chowdhury, Moajjem Hossain; Ayari, Mohamed Arselene; Alfkey, Rashad; Bakar, Ahmad Ashrif A; Malik, Rayaz A; Hasan, Anwarul",2022,"Sensors (Basel, Switzerland)",Diagnosis,Diabetic foot,Retrospective (single),2012,2014,Scoring system (TCI),Thermograph,Foot thermograms,"Classificiaiont: mild, mod, severe",167,122,"K-mean clustering, UNSUPERVISED. Ensemble: VGG, RF, XGBoost",0,5-fold cross validation,80/20,"acc=0.9508, prec=0.9508, prec=0.9509, sens=0.9508, f1=0.972",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,,,,,,,
#690,https://dx.doi.org/10.1080/03091902.2022.2077997,Diabetic foot thermal image segmentation using Double Encoder-ResUnet (DE-ResUnet).,"Bouallal, Doha; Douzi, Hassan; Harba, Rachid",2022,Journal of medical engineering & technology,Segmentaiton,Diabetic foot,Prospective,N/A,N/A,1 expert,Thermograph + Skin image,Thermograph of foot,Segmentation of foot,196,145,ResNet+Unet,0,NR,50.25/25,"IoU=0.973, DC=0.954",0,l,l,h,h,h,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,
#693,https://dx.doi.org/10.3390/s22103643,Automatic Detection and Segmentation of Thrombi in Abdominal Aortic Aneurysms Using a Mask Region-Based Convolutional Neural Network with Optimized Loss Functions.,"Hwang, Byunghoon; Kim, Jihu; Lee, Sungmin; Kim, Eunyoung; Kim, Jeongho; Jung, Younhyun; Hwang, Hyoseok",2022,"Sensors (Basel, Switzerland)",Segmentation,AAA,Retrospective (single),2012,2020,Radiologist,CTA,CTA of AAA,Segmentation of thrombus,60,N/A,R-CNN,0,4-fold cross validation,75/25,f1=0.9197,0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,,,,,,,
#696,https://dx.doi.org/10.3233/SHTI220397,An Image Based Object Recognition System for Wound Detection and Classification of Diabetic Foot and Venous Leg Ulcers.,"Husers, Jens; Moelleken, Maurice; Richter, Mats L; Przysucha, Mareike; Malihi, Leila; Busch, Dorothee; Gotz, Nina-Alexandra; Heggemann, Jan; Hafer, Guido; Wiemeyer, Stefan; Babitsch, Birgit; Heidemann, Gunther; Dissemond, Joachim; Erfurt-Berge, Cornelia; Hubner, Ursula",2022,Studies in health technology and informatics,Diagnosis,Leg ulcer (Diabetic foot),Retrospective (multi),NR,NR,2 clinician ,Skin image,Skin images of feet,"Classificaiton: diabetes, venous ulcer",885,N/A,YOLOv5  ,0,NR,90/10',"Precision=0.942, recall=0.837",0,u,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,,,,,,,
#704,https://dx.doi.org/10.1155/2022/2014349,Object-Specific Four-Path Network for Stroke Risk Stratification of Carotid Arteries in Ultrasound Images.,"Ma, Wei; Xia, Yujiao; Wu, Xiaoyan; Yue, Zheng; Cheng, Xinyao; Fenster, Aaron; Ding, Mingyue",2022,Computational and mathematical methods in medicine,Diagnosis,Carotid stenosis,Retrospective (single),NR,NR,Clinicians,US,Carotid US (transverse and longitudinal),Classification: sx or asx patient,333,117,Custom: feature extraction and downsampling subnetworks,0,5-fold cross validation,80/20,AUC=0.99,0,l,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,,,,,,,
#713,https://dx.doi.org/10.1155/2022/2349849,Automated Detection of Infection in Diabetic Foot Ulcer Images Using Convolutional Neural Network.,"Yogapriya, J; Chandran, Venkatesan; Sumithra, M G; Elakkiya, B; Shamila Ebenezer, A; Suresh Gnana Dhas, C",2022,Journal of healthcare engineering,Diagnosis,Diabetic Foot (infjection),Public,NR,NR,Physician ,Skin images,Foot images,Classification: diabetic infection or not,5890,2895,Custome: CNN,1 (Feature Maps),NR,80/20,"acc=0.9198, correlation coeff=0.84",0,u,l,l,l,u,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
#726,https://dx.doi.org/10.3233/THC-THC213630,Fully automatic segmentation of abdominal aortic thrombus in pre-operative CTA images using deep convolutional neural networks.,"Wang, Yonggang; Zhou, Min; Ding, Yong; Li, Xu; Zhou, Zhenyu; Xie, Tianchen; Shi, Zhenyu; Fu, Weiguo",2022,Technology and health care : official journal of the European Society for Engineering and Medicine,Segmentation,AAA (EVAR),Retrospective (single),NR,NR,Vascular surgeon  ,CT ,CT of AAA in pre-op,Segmentation of ILT and AAA,340,N/A,ResNet,0,4-fold cross-validation,80/20,"Acc=0.9546, IOU=0.86",0,u,l,l,h,h,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,,,,,,,
#730,https://dx.doi.org/10.1016/j.avsg.2022.02.013,Automatic Measurement of Vascular Calcifications in Patients with Aorto-Iliac Occlusive Disease to Predict the Risk of Re-intervention After Endovascular Repair.,"Guidi, Lucas; Lareyre, Fabien; Chaudhuri, Arindam; Le, Cong Duy; Adam, Cedric; Carrier, Marion; Hassen-Khodja, Reda; Jean-Baptiste, Elixene; Raffort, Juliette",2022,Annals of vascular surgery,Diagnosis,"EVAR, PAD",Retrospective (single),2011,2019,Purpose of paper: compare the calcifications to reintervention post-EVAR,CTA ,CTA of aorta,"Segmentation of spine, lumen and thrombus-> Calcification segmentation.",171,N/A,Custom CNN,0,Pre-trained,Pre-trained (software),Not applicable,0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,
#732,https://dx.doi.org/10.3390/s22051793,Thermal Change Index-Based Diabetic Foot Thermogram Image Classification Using Machine Learning Techniques.,"Khandakar, Amith; Chowdhury, Muhammad E H; Reaz, Mamun Bin Ibne; Ali, Sawal Hamid Md; Abbas, Tariq O; Alam, Tanvir; Ayari, Mohamed Arselene; Mahbub, Zaid B; Habib, Rumana; Rahman, Tawsifur; Tahir, Anas M; Bakar, Ahmad Ashrif A; Malik, Rayaz A",2022,"Sensors (Basel, Switzerland)",Diagnosis,Diabetic Foot,Public,NR,NR,"Expert, scoring system (TCI)",Thermograph,Foot thermograms,Classification: 5 classes (based on TCI),122,N/A,"Ensemble: MLP,  ResNet18, ResNet50, VGG19, DenseNet201, InceptionV3, and MobileNetV",0,5-fold cross validation,60/20/20,acc=0.901,0,u,l,l,l,u,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,,,,,,,
#743,https://dx.doi.org/10.3390/s22030887,FRDD-Net: Automated Carotid Plaque Ultrasound Images Segmentation Using Feature Remapping and Dense Decoding.,"Li, Yanhan; Zou, Lian; Xiong, Li; Yu, Fen; Jiang, Hao; Fan, Cien; Cheng, Mofan; Li, Qi",2022,"Sensors (Basel, Switzerland)",Segmentation,Carotid stenosis,Retrospective,NR,NR,Sonographer  ,US,Transverse CA US  ,Segmentation of carotid plaque  ,4122,N/A,Custom CNN (with decoder encoder blocks),,10-fold cross validation,90/10',"DC=0.8365, IoU=0.7818",0,u,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,,,,,,,
#753,https://dx.doi.org/10.1007/s10278-021-00535-1,A Deep Learning-Based and Fully Automated Pipeline for Thoracic Aorta Geometric Analysis and Planning for Endovascular Repair from Computed Tomography.,"Saitta, Simone; Sturla, Francesco; Caimi, Alessandro; Riva, Alessandra; Palumbo, Maria Chiara; Nano, Giovanni; Votta, Emiliano; Corte, Alessandro Della; Glauber, Mattia; Chiappino, Dante; Marrocco-Trischitta, Massimiliano M; Redaelli, Alberto",2022,Journal of digital imaging,Segmentation+Quantification,TEVAR,Retrospective,2010,2020,5 experts,CT ,CT of thoracic aorta,"Segmentation of thoracic aorta + pulmonary arteries, segmentation of  proximal landing zones and landmarks, computation of geometric featurs for TEVAR planning",465,N/A,Unet,0,NR,85/15,DC=0.95,0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#757,https://dx.doi.org/10.3233/SHTI210919,Automatic Classification of Diabetic Foot Ulcer Images - A Transfer-Learning Approach to Detect Wound Maceration.,"Husers, Jens; Hafer, Guido; Heggemann, Jan; Wiemeyer, Stefan; Przysucha, Mareike; Dissemond, Joachim; Moelleken, Maurice; Erfurt-Berge, Cornelia; Hubner, Ursula",2022,Studies in health technology and informatics,Diagnosis,Diabetic Foot,Retrospective,NR,NR,2 experts,Skin image,Foot images,Classification: macerated or non-macerated,434,N/A,MobileNet,0,NR,75/25,"recall=0.69, precision=0.67, acc=0.69",0,u,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,,,,,,,
#764,https://dx.doi.org/10.1007/s13239-021-00594-z,Deep Learning to Automatically Segment and Analyze Abdominal Aortic Aneurysm from Computed Tomography Angiography.,"Brutti, Francesca; Fantazzini, Alice; Finotello, Alice; Muller, Lucas Omar; Auricchio, Ferdinando; Pane, Bianca; Spinella, Giovanni; Conti, Michele",2022,Cardiovascular engineering and technology,Segmentation,AAA,Retrospective (single),NR,NR,2 experts,CTA,CTA of aorta (all planes),Segmentation of lumen and thrombus in all 3 planes. Then calculation of aneurysm/lumen diameter,7851,N/A,Unet,0,NR,75/10/15',"DC=0.89, correlation coeff=0.92, MAD= 3.2 mm",0,u,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,
#775,https://dx.doi.org/10.1016/j.ultrasmedbio.2021.11.001,Intelligent Segmentation of Intima-Media and Plaque Recognition in Carotid Artery Ultrasound Images.,"Lin, Yanping; Huang, Jianhua; Chen, Yuhang; Chen, Qingqing; Li, Zhaojun; Cao, Qixin",2022,Ultrasound in medicine & biology,Segmentation,Carotid stenosis,Retrospective,NR,NR,1 clinician,US,Carotid US,"Segmentation of LIB, MAB, plaques",1700,N/A,Unet,0,NR,75/17/17,"IoU=0.7825, acc=0.84, DC=0.87",0,h,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
#778,https://dx.doi.org/10.1007/s00330-021-08370-2,Automated Stanford classification of aortic dissection using a 2-step hierarchical neural network at computed tomography angiography.,"Huang, Li-Ting; Tsai, Yi-Shan; Liou, Cheng-Fu; Lee, Tsung-Han; Kuo, Po-Tsun Paul; Huang, Han-Sheng; Wang, Chien-Kuo",2022,European radiology,Diagnosis,Aortic dissection (Type B and Type A),Retrospective (single),2015,2019,2 radiologists,CTA,CTA of aorta,Classification: Step 1: dissection or not. Step 2: A or B dissection.,130,100,ResNet,0,5-fold cross validation,80/20,"Sens=0.89, spec=0.96, kappa=0.766",1,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,,,,,,,
#782,https://dx.doi.org/10.23736/S0392-9590.21.04771-4,Automated deep learning-based paradigm for high-risk plaque detection in B-mode common carotid ultrasound scans: an asymptomatic Japanese cohort study.,"Jain, Pankaj K; Sharma, Neeraj; Saba, Luca; Paraskevas, Kosmas I; Kalra, Mandeep K; Johri, Amer; Nicolaides, Andrew N; Suri, Jasjit S",2022,International angiology : a journal of the International Union of Angiology,Segmentation,Carotid stenosis,Retrospective (single),2009,2010,1 cardiologist,US,Carotid US,Segmentation of plaque. Then classification into high or low risk (plaque quantified automatically),379,190,"Ensemble: Unet, Software, Hybrid Deep Leaerning",,10-fold cross validation,90/10',"AUROC=0.94, correation coeff=0.89. MAE=3.11 mm2. ",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#788,https://dx.doi.org/10.1007/s11548-021-02492-0,Aorta-aware GAN for non-contrast to artery contrasted CT translation and its application to abdominal aortic aneurysm detection.,"Hu, Tao; Oda, Masahiro; Hayashi, Yuichiro; Lu, Zhongyang; Kumamaru, Kanako Kunishima; Akashi, Toshiaki; Aoki, Shigeki; Mori, Kensaku",2022,International journal of computer assisted radiology and surgery,Synthetic images,AAA,Retrospective (single),NR,NR,NR,CT,NCCT,GAN produces a Aorta mask: easy to detect AAA. Compared with ML (Unet) for CTA,26,12,Generative adversarial network + Unet,0,5-fold cross validation,80/20,"f1=0.85, ",0,l,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,,,,,,,
#807,https://dx.doi.org/10.1016/j.jvs.2021.06.478,Machine learning analysis of multispectral imaging and clinical risk factors to predict amputation wound healing.,"Squiers, John J; Thatcher, Jeffrey E; Bastawros, David S; Applewhite, Andrew J; Baxter, Ronald D; Yi, Faliu; Quan, Peiran; Yu, Shuai; DiMaio, J Michael; Gable, Dennis R",2022,Journal of vascular surgery,Prognosis ,PAD (Amputation wound healing),Prospective,N/A,N/A,Physician (1mo follow-up),Multispectral imaging,MSI + Pt clinical factors,Classification: amputation wound healing (Y/N),25,11,DCNN (mod to include pt factors),0,leave-one-out,NR,"sens=0.91, spec=0.86, AUROC=0.89",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,,,,,,,
#812,https://dx.doi.org/10.1111/iwj.13644,Clinical validation of a machine-learning-based handheld 3-dimensional infrared wound imaging device in venous leg ulcers.,"Chan, Kai Siang; Liang, Shanying; Cho, Yuan Teng; Chan, Yam Meng; Tan, Audrey Hui Min; Muthuveerappa, Sivakami; Lai, Tina Peiting; Goh, Cheng Cheng; Joseph, Annie; Hong, Qiantai; Yong, Enming; Zhang, Li; Chong, Lester Rhan Chaen; Tan, Glenn Wei Leong; Chandrasekar, Sadhana; Lo, Zhiwen Joseph",2022,International wound journal,Quantification,Leg ulcer (venous),Retropsective,2019,2021,Measurements by trained wound nurse,Infrared,Handheld 3D imaging wound device,"Length, width and area of venous leg ulcer",52 (222 images),N/A,"Software",0,Software,Software,reliability=0.991,0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,
#818,https://dx.doi.org/10.1111/iwj.13603,Clinical validation of an artificial intelligence-enabled wound imaging mobile application in diabetic foot ulcers.,"Chan, Kai Siang; Chan, Yam Meng; Tan, Audrey Hui Min; Liang, Shanying; Cho, Yuan Teng; Hong, Qiantai; Yong, Enming; Chong, Lester Rhan Chaen; Zhang, Li; Tan, Glenn Wei Leong; Chandrasekar, Sadhana; Lo, Zhiwen Joseph",2022,International wound journal,Quantification,Diabetic foot,Retrospective,2020,2021,Traced wound on graphical paper by nurse,Skin image,Foot images,Length and width of diabetic foot ulcer,28 (547 images),,Software,1,Software,Software,reliability=0.878,0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,,,,,,,
#838,https://dx.doi.org/10.1109/EMBC46164.2021.9631067,"Deep Learning-Based 3D Segmentation of True Lumen, False Lumen, and False Lumen Thrombosis in Type-B Aortic Dissection.","Wobben, Liana D; Codari, Marina; Mistelbauer, Gabriel; Pepe, Antonio; Higashigaito, Kai; Hahn, Lewis D; Mastrodicasa, Domenico; Turner, Valery L; Hinostroza, Virginia; Baumler, Kathrin; Fischbein, Michael P; Fleischmann, Dominik; Willemink, Martin J",2021,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Segmentation,Type B Aortic Dissection,Retrospective,2003,2017,Radiologist (1),CTA,CTA of aorta,"Segmentation of TL, FL, Thrombosis (in FL). 3 models: 1=TL, PFL, FLT, background. 2=first segmentation whole aorta, then TL and FL segment, then PFL and FLT segment. 3=FLT segmented from manually segmented FL. ",43 (164 images),N/A,Unet,0,NR,70/15/15,DC=0.83,0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,
#839,https://dx.doi.org/10.1109/EMBC46164.2021.9630402,Stratification of carotid atheromatous plaque using interpretable deep learning methods on B-mode ultrasound images.,"Ganitidis, Theofanis; Athanasiou, Maria; Dalakleidi, Kalliopi; Melanitis, Nikos; Golemati, Spyretta; Nikita, Konstantina S",2021,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Diagnosis ,Carotid stenosis,Retrospective (single),NR,NR,Medical records (Storke or TIA within 6 mos prior),US,Carotid B-mode US,Classification: sx or asx  ,74,16,"Ensemble: CNN, sub-sampling",1 (heatmap),4-fold cross validation,75/25,"AUROC=0.73, sens=0.75, spec=0.70",0,h,l,l,l,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,
#841,https://dx.doi.org/10.1109/EMBC46164.2021.9630989,A Cascaded Deep Learning Framework for Detecting Aortic Dissection Using Non-contrast Enhanced Computed Tomography.,"Xiong, Xiangyu; Guan, Xiuhong; Sun, Chuanqi; Zhang, Tianjing; Chen, Hao; Ding, Yan; Cheng, Zhangbo; Zhao, Lei; Ma, Xiaohai; Xie, Guoxi",2021,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Synthetic images,Aortic dissection (Type B and Type A),Prospective,NR,NR,CE-CT and radiologist diagnosis,CT,Non-contrast CT   ,Segmentation of aorta in NCCT. Then use of a GAN to convert NCCT->CE-CT. Radiologist predicted AD in both CTA and synthetic CE-CT,154,65,"Segmentation:Unet,Synthesis:GAN",0,5-fold cross validation,80/20,"Synthetic: MAE=01.37 mm. Diagnosis: acc=0.8077, sens=0.9600, spec=0.6676",0,u,l,l,h,h,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
